Bird,Lime,Lyft,Jump,Gotcha,Spin
"Alexandria, Virginia USA","Culver City, California","Alexandria, Virginia USA","Atlanta, Georgia","Auburn, Alabama","Washington, D.C."
"Arlington, Texas","Long Beach, California","Arlington, Texas","Chicago, illinois","North Little Rock, Arkansas","Los Angeles, California"
"Atlanta, Georgia","Los Angeles, California","Atlanta, Georgia","Los Angelos, California","Tucson, Arizona","Baltimore, Maryland"
"Austin, Texas","Oakland, California","Austin, Texas","Nashville, Tennessee","Fort Lauderdale, Florida","Chicago, Illinois"
"Baltimore, Maryland","San Diego, California","Chicago, Illinois","Sacramento, California","Tallahassee, Florida","Chula Vista, California"
"Bloomington, Indiana","San Jose, California","Columbus, Georgia","Tampa, Florida","Gainesville, Florida","Detroit, Michigan"
"Boise, Idaho","Santa Monica, California","Dallas, Texas","Austin, texas","Atlanta, Georgia","Durham, North Carolina"
"Brookline, Massachusetts","South Lake Tahoe, California","Denver, Colorado","Dallas, Texas","Springfield, Illinois","Minneapolis, Minnesota"
"Charlotte, North Carolina","Denver, Colorado","Los Angeles, California","Miami, Florida","Lafeyette, Indiana","Portland, Oregon"
"Charlottesville, North Carolina","Fort Lauderdale, Florida","Mesa, Arizona","San Diego, California","Baton Rouge, Louisiana","Sacramento, California"
"Chicago, Illinois","Key Biscayne, Florida","Miami, Florida","Baltimore, Maryland","Towson, Maryland","St. Louis, Missouri"
"Cincinnati, Ohio","Miami, Florida","Minneapolis, Minnesota","Santa Monica, California","Lansing, Michigan","West Lafayette, Indiana"
"Columbia, Missouri","Miami Lakes, Florida","Columbus, Ohio","Washington, D.C.","Minneapolis, Minnesota",
"Columbus, Ohio","Miami Shores, Florida","Nashville, Tennessee",,"Oxford, Mississippi",
"Coral Gables, Florida","Miami Springs, Florida","Oakland, California",,"Columbia, Missouri",
"Culver City, Nevada","North Bay Village, Florida","San Antonio, Texas",,"Durham, North Carolina",
"Dallas, Texas","North Miami, Florida","San Diego, California",,"Chapel Hill, North Carolina",
"Denver, Colorado","Orlando, Florida","San Jose, California",,"Charlotte, North Carolina",
"Detroit, Michigan","South Miami, Florida","Santa Monica, California",,"Wilmington, North Carolina",
"Durham, North Carolina USA","Tampa, Florida","Scottsdale, Arizona",,"Greenville, North Carolina",
"Fort Lauderdale, Floria","Unincorporated Miami Dade, Florida","Washington, D.C.",,"New York, New York",
"Greensboro, North Carolina","Atlanta, Georgia",,,"Buffalo, New York",
"Harrisonburg, Virginia","Boise, Idaho",,,"Toledo, Ohio",
"Indianapolis, Indiana","Chicago, Illinois",,,"Norman, Oklahoma",
"Kansas City, Missouri","Bloomington, Indiana",,,"Nashville, Tennessee",
"Long Beach, California","Elkhart, Indiana",,,"Blacksburg, Virginia",
"Los Angeles, California","Indianapolis, Indiana",,,"Burlington, Vermont",
"Louisville, Kentucky","South Bend, Indiana",,,"Pullman, Washington",
"Memphis, Tennessee","Louisville, Kentucky",,,,
"Miami, Flori","Baltimore, Maryland",,,,
"Nashville, Tennessee","Montgomery County, Maryland",,,,
"Norman, Oklahoma","Silver Spring, Maryland",,,,
"Oakland, California","Arlington, Massachusetts",,,,
"Providence, Rhode Island","Bedford, Massachusetts",,,,
"Raleigh, North Carolina","Belmont, Massachusetts",,,,
"Salt Lake City, Utah","Brookline, Massachusetts",,,,
"San Antonio, Texas","Chelsea, Massachusetts",,,,
"San Diego, California","Everett, Massachusetts",,,,
"San Jose, California","Malden, Massachusetts",,,,
"Santa Monica, California","Newton, Massachusetts",,,,
"Scottsdale, Arizona","Quincy, Massachusetts",,,,
"St. Louis, Missouri","Watertown, Massachusetts",,,,
"St. Paul, Minnesota","Winthrop, Massachusetts",,,,
"Tempe, Arizona","Detroit, Michigan",,,,
"Tulsa, Oklahoma","Edina, Minnesota",,,,
"Virginia Beach, Virginia","Golden Valley, Minnesota",,,,
"Washington, D.C.","Minneapolis, Minnesota",,,,
,"St. Paul, Minnesota",,,,
,"Columbia, Missouri",,,,
,"Ferguson, Missouri",,,,
,"St. Louis, Missouri",,,,
,"Hoboken, New Jersey",,,,
,"Keyport, New Jersey",,,,
,"Plainfield, New Jersey",,,,
,"Ithaca, New York",,,,
,"New York, New York",,,,
,"White Plains, New York",,,,
,"Yonkers, New York",,,,
,"Charlotte, North Carolina",,,,
,"Durham, North Carolina",,,,
,"Greensboro, North Carolina",,,,
,"Raleigh, North Carolina",,,,
,"Cincinnati, Ohio",,,,
,"Columbus, Ohio",,,,
,"Dublin, Ohio USA",,,,
,"Oklahoma City, Oklahoma",,,,
,"Stillwater, Oklahoma",,,,
,"Tulsa, Oklahoma",,,,
,"Portland, Oregon",,,,
,"Providence, Rhode Island",,,,
,"Nashville, Tennessee",,,,
,"Austin, Texas",,,,
,"Dallas, Texas",,,,
,"Lubbock, Texas",,,,
,"Plano, Texas",,,,
,"San Antonio, Texas",,,,
,"Salt Lake City, Utah",,,,
,"Arlington, Virginia",,,,
,"Charlottesville, Virginia",,,,
,"Norfolk, Virginia",,,,
,"Bothell, Washington",,,,
,"Seattle, Washington",,,,
,"Spokane, Washington",,,,
,"Tacoma, Washington",,,,
,"Washington, D.C.",,,,